HGNC_ID	symbol	Entrez	chr	PTV_mut_rate	miss_mut_rate	PTV_enrichment_p	enrich_mis_p_full	denovoWEST_p_full	DD_PTV_obs	DD_PTV_exp	DD_miss_obs	DD_miss_exp	SZ_PTV_obs	SZ_PTV_exp	SZ_miss_obs	SZ_miss_exp
46	ABCB5	340273	7	4.36e-06	3.16e-05	0.33071029	0.120478093	0.165217936	0	0.27082576	4	1.9628656	0	0.029785169304	0	0.2160723944
47	ABCB6	10058	2	8.17e-06	3.01e-05	0.231006141	1	1	0	0.50748772	1	1.8696916	0	0.05529712245	0	0.2036016374
48	ABCB7	22	X	3.49e-06	1.89e-05	0.147086317	0.00490827	0.001169513	0	0.1691952	3	0.916272	0	0.01663294965	0	0.089946423
49	ABCB8	11194	7	5.05e-06	2.84e-05	0.181220421	0.116679453	0.235882316	0	0.3136858	5	1.7640944	0	0.033506687856	0	0.1880984256
50	ABCB9	23457	12	3.01e-06	2.66e-05	0.163383019	0.342616758	0.695652255	0	0.18696916	3	1.6522856	0	0.019803972136	1	0.1753614044
51	ABCC1	4363	16	4.28e-06	5.28e-05	0.348917264	0.182195273	0.152579853	0	0.26585648	5	3.2797248	0	0.02893195149	0	0.3565010592
52	ABCC10	89845	6	4.68e-06	4.85e-05	0.335829048	1	0.758685256	0	0.29070288	2	3.012626	0	0.031665144126	0	0.327943517
53	ABCC2	1244	10	8.43e-06	4.09e-05	0.356421765	0.318583579	0.184506337	0	0.52363788	5	2.5405444	0	0.05806584	0	0.2817192
54	ABCC3	8714	17	5.42e-06	4.96e-05	0.334431136	0.22206722	0.371226781	0	0.33666872	4	3.0809536	0	0.03612989514	0	0.3312463584
55	ABCC4	10257	13	7.41e-06	3.72e-05	0.317758349	0.115845411	0.314725134	0	0.46027956	4	2.3107152	0	0.0503133072	0	0.252585024
56	ABCC5	10057	3	1.12e-05	4.41e-05	0.068027903	0.382740762	0.197056482	1	0.6956992	3	2.7393156	0	0.07662253706	0	0.3008952702
57	ABCC6	368	16	3.73e-06	4.31e-05	0.33892891	1	0.967853248	0	0.23169268	4	2.6771996	0	0.02541328822	0	0.2936495234
59	ABCC8	6833	11	4.76e-06	5.22e-05	0.367589515	0.07131486	0.216109614	0	0.29567216	5	3.2424552	0	0.032685937392	0	0.3581456616
60	ABCC9	10060	12	5.17e-06	4.14e-05	0.074792866	9.13e-05	8.98e-05	1	0.32113972	9	2.5716024	0	0.03557292948	0	0.2848586616
61	ABCD1	215	X	3.26e-06	2.74e-05	0.120701862	0.411270622	1	0	0.1580448	1	1.328352	0	0.014421416592	0	0.1213595868
66	ABCD2	225	12	1.98e-06	1.95e-05	0.014784965	0.102758875	0.019712866	1	0.12298968	2	1.211262	1	0.013513977876	0	0.133025022
67	ABCD3	5825	1	5.8e-06	1.84e-05	0.232452126	1	0.91962295	0	0.3602728	2	1.1429344	0	0.039895081782	0	0.1267166416
68	ABCD4	5826	14	3.79e-06	1.96e-05	0.017074421	0.20076227	0.193683615	1	0.23541964	2	1.2174736	0	0.02596878445	0	0.13440406
69	ABCE1	6059	4	5.53e-06	1.53e-05	0.190413537	0.366249125	1	0	0.34350148	1	0.9503748	0	0.037141704864	0	0.1028353392
70	ABCF1	23	6	3.89e-06	2.6e-05	0.251897038	0.131894381	0.009831642	0	0.24163124	4	1.615016	0	0.02628879116	0	0.175709144
71	ABCF2	10061	7	5.15e-06	1.88e-05	0.018748103	1	0.200935206	1	0.3198974	1	1.1677808	0	0.03506455037	0	0.128226716
72	ABCF3	55324	3	7.31e-06	2.66e-05	0.19230239	0.085840353	0.191542754	0	0.45406796	3	1.6522856	0	0.04931168104	0	0.1794378544
73	ABCG1	9619	21	2.29e-06	2.55e-05	0.158987918	1	1	0	0.14224564	1	1.583958	0	0.01526535526	0	0.169985397
74	ABCG2	9429	4	3.85e-06	1.72e-05	0.019304646	0.212954943	0.046614085	1	0.2391466	3	1.0683952	0	0.026469032088	0	0.1182205536
76	ABL1	25	9	4.28e-06	4.09e-05	0.033813443	5.13e-08	2.15e-09	1	0.26585648	12	2.5405444	0	0.028611957036	0	0.2735458258
77	ABL2	27	1	5.85e-06	3.19e-05	0.281294626	0.150830978	0.292420865	0	0.3633786	4	1.9815004	0	0.03997888833	0	0.217967277
78	ABLIM1	3983	10	6.03e-06	2.59e-05	0.218793447	0.094144443	0.148175688	0	0.37455948	3	1.6088044	0	0.041016553574	0	0.1761447086
80	AOC1	26	7	1.96e-06	2.7e-05	0.154420178	1	0.674262795	0	0.12174736	2	1.677132	0	0.01291896368	0	0.177965316
81	ABR	29	17	2.09e-06	2.81e-05	0.220983263	1	0.949841115	0	0.12982244	3	1.7454596	0	0.0140521466448	0	0.1888675184
82	ACAA1	30	3	1.75e-06	1.31e-05	0.119032043	NA	NA	0	0.108703	0	0.8137196	0	0.011827205376	0	0.0884340128
83	ACAA2	10449	18	1.51e-06	9.43e-06	0.108770565	0.165542229	0.261959748	0	0.09379516	1	0.58575388	0	0.01027373979	0	0.0642023633
84	ACACA	31	17	9.9e-06	6.98e-05	0.528585717	1	0.896984148	0	0.6149484	3	4.3356968	0	0.0681912	0	0.4807824
85	ACACB	32	12	1.41e-05	8.7e-05	0.508076589	1	0.983326883	0	0.8758356	2	5.404092	0	0.09519047424	1	0.589016448
87	ACAD8	27034	11	3.4e-06	1.2e-05	0.137140327	1	1	0	0.2111944	1	0.745392	0	0.023435473464	0	0.082567728
88	ACADL	33	2	4.5e-06	1.12e-05	0.132761826	0.229324089	0.348308304	0	0.279522	1	0.6956992	0	0.030990483	0	0.0771318688
89	ACADM	34	1	2.56e-06	1.09e-05	0.12762062	0.193825582	0.280322806	0	0.15901696	1	0.6770644	0	0.017289444392	0	0.0735290456
90	ACADS	35	12	2.55e-06	1.53e-05	0.106606254	NA	NA	0	0.1583958	0	0.9503748	0	0.01729392624	0	0.103885776
91	ACADSB	36	10	2.91e-06	1.02e-05	0.113262841	0.013095758	0.023034966	0	0.18075756	3	0.6335832	0	0.01999895541	0	0.0702200844
92	ACADVL	37	17	1.78e-06	2.05e-05	0.178172347	1	1	0	0.11056648	1	1.273378	0	0.01222505088	0	0.140399744
93	ACAT1	38	11	2.71e-06	1.02e-05	0.107030524	0.252279061	0.320754639	0	0.16833436	1	0.6335832	0	0.018660534896	0	0.0701575584
94	ACAT2	39	6	2.75e-06	1.03e-05	0.093332601	0.270236152	0.340206878	0	0.170819	1	0.6397948	0	0.018847484876	0	0.0706180772
95	SLC33A1	9197	3	2.23e-06	1.59e-05	0.12073134	1	1	0	0.13851868	1	0.9876444	0	0.014961533664	0	0.1068680976
99	ASIC2	40	17	1.66e-06	2.07e-05	0.010663107	0.112927241	0.02866772	1	0.10311256	3	1.2858012	0	0.011158084668	0	0.1393078122
100	ASIC1	41	12	2.33e-06	1.92e-05	0.165831695	1	1	0	0.14473028	0	1.1926272	0	0.0157566166	0	0.12989568
101	ASIC3	9311	7	3.8e-06	2.09e-05	0.157243128	2.82e-05	6.15e-05	0	0.2360408	7	1.2982244	0	0.025486521284	0	0.1403975474
102	CNNM1	26507	10	3e-06	3.48e-05	0.207156443	1	1	0	0.186348	1	2.1616368	0	0.019375800448	0	0.2246843904
103	CNNM2	54805	10	2.6e-06	3.7e-05	0.187791601	0.326728442	0.257148434	0	0.1615016	3	2.298292	0	0.01784104064	0	0.253404416
104	CNNM3	26505	2	2.6e-06	3.03e-05	0.1799581	1	0.660504674	0	0.1615016	2	1.8821148	0	0.016608244156	1	0.1936243932
105	CNNM4	26504	2	2.07e-06	2.99e-05	0.157892675	0.3266131	0.246515528	0	0.12858012	4	1.8572684	0	0.01407371042	0	0.203385182
108	ACHE	43	7	1.9e-06	2.44e-05	0.154757896	1	0.853884304	0	0.1180204	2	1.5156304	0	0.01209383396	0	0.155802296
115	ACLY	47	17	4.72e-06	3.63e-05	0.046690704	1	0.267191396	1	0.29318752	3	2.2548108	0	0.03185167392	0	0.2449609668
117	ACO1	48	9	3.62e-06	2.62e-05	0.033002627	0.37871226	0.178189488	1	0.22485992	2	1.6274392	0	0.02447299552	2	0.1771249952
118	ACO2	50	22	2.8e-06	2.68e-05	0.019072058	1	1	1	0.1739248	0	1.6647088	0	0.0190529696	0	0.1823641376
119	ACOX1	51	17	3.23e-06	2.08e-05	0.178416412	0.148999245	0.002792129	0	0.20063468	2	1.2920128	0	0.022233434492	0	0.1432193984
120	ACOX2	8309	3	2.69e-06	2.27e-05	0.167062844	0.044721447	0.079275298	0	0.16709204	3	1.4100332	0	0.01837701476	0	0.1550774108
121	ACOX3	8310	4	1.95e-06	2.42e-05	0.187851888	0.413829688	0.415543944	0	0.1211262	2	1.5032072	0	0.013145563728	0	0.1633073112
122	ACP1	52	2	4.66e-07	4.19e-06	0.048580238	NA	NA	0	0.028946056	0	0.26026604	0	0.00318251376198	0	0.02859873606
123	ACP2	53	11	1.78e-06	1.61e-05	0.113262192	1	1	0	0.11056648	0	1.0000676	0	0.011828096064	1	0.1072254204
124	ACP5	54	19	7.43e-07	1.15e-05	0.081263153	0.320279975	1	0	0.046152188	1	0.714334	0	0.0050651798622	0	0.078408357
125	ACPP	55	3	3.21e-06	1.12e-05	0.000318545	0.338899162	0.001167601	2	0.19939236	1	0.6956992	0	0.02190696732	0	0.0761981472
126	ACR	49	22	1.28e-06	1.23e-05	0.120844291	1	1	0	0.07950848	1	0.7640268	0	0.008303045868	0	0.0799119438
127	ACRV1	56	11	1.27e-06	6.63e-06	0.067003267	NA	NA	0	0.07888732	0	0.41182908	0	0.00874620298	0	0.04565931162
129	ACTA1	58	1	2.63e-06	1.82e-05	0.004201249	0.000598505	0.000224931	1	0.16336508	7	1.1305112	0	0.01803926226	0	0.124692204
130	ACTA2	59	10	1.85e-06	1.27e-05	0.004794294	0.006521181	0.003153681	1	0.1149146	3	0.7888732	0	0.01275210511	1	0.087399749
132	ACTB	60	7	6.03e-07	1.64e-05	0.079610323	NA	NA	0	0.037455948	0	1.0187024	0	0.0041507088	0	0.1129632
133	POTEH	23784	22	8.91e-07	1.04e-05	0.138355949	NA	NA	0	0.055345356	0	0.6460064	0	0.00573303258	0	0.066917552
143	ACTC1	70	15	8.62e-07	1.39e-05	0.080024172	0.014989428	0.018922874	0	0.053543992	3	0.8634124	0	0.005825433928	0	0.0939368116
144	ACTG1	71	17	1.35e-06	1.68e-05	0.092634706	NA	NA	0	0.0838566	0	1.0435488	0	0.009104885368	0	0.1134733488
145	ACTG2	72	2	1.61e-06	1.19e-05	0.092725319	0.138484693	0.174803188	0	0.10000676	3	0.7391804	0	0.010679240716	0	0.0787867108
160	ACTL6B	51412	7	3.43e-06	1.44e-05	0.144004918	0.042200274	6.01e-05	0	0.21305788	6	0.8944704	0	0.02303039844	0	0.096715584
161	ACTL7A	10881	9	8.35e-07	1.56e-05	0.004461815	0.303238993	0.143141818	1	0.05186686	2	0.9690096	0	0.00562965851	0	0.1051768536
162	ACTL7B	10880	9	5.88e-07	1.85e-05	0.076581806	1	1	0	0.036524208	1	1.149146	0	0.003719977296	1	0.117040102
163	ACTN1	87	14	4.85e-06	3.36e-05	0.034333659	0.102181341	0.063363749	1	0.3012626	4	2.0870976	0	0.0328597588	1	0.2276469888
164	ACTN2	88	1	9.06e-06	3.17e-05	0.222660141	0.055287884	0.091825789	0	0.56277096	4	1.9690772	0	0.0623497422	0	0.218155279
166	ACTN4	81	19	3.24e-06	3.48e-05	0.027795855	0.267707734	0.099567198	1	0.20125584	3	2.1616368	0	0.022073096296	1	0.2372278416
167	ACTR1A	10121	10	3.12e-06	1.32e-05	0.133009432	0.033462968	0.094933773	0	0.19380192	3	0.8199312	1	0.021248252364	0	0.0899829744
168	ACTR1B	10120	2	2.78e-06	1.51e-05	0.12696771	NA	NA	0	0.17268248	0	0.9379516	0	0.01906694526	0	0.103453422
169	ACTR2	10097	2	2.44e-06	1.08e-05	0.136802651	1	1	0	0.15156304	0	0.6708528	0	0.016452199368	1	0.0728809488
170	ACTR3	10096	2	3.12e-06	1.12e-05	0.123126193	NA	NA	0	0.19380192	0	0.6956992	0	0.02121171008	1	0.076047104
171	ACVR1	90	2	3.27e-06	1.51e-05	0.134680912	0.308399226	1	0	0.20311932	1	0.9379516	0	0.022496208	0	0.1040088
172	ACVR1B	91	12	2.14e-06	1.74e-05	0.151233487	1	1	0	0.13292824	1	1.0808184	0	0.014448275664	0	0.1176966276
173	ACVR2A	92	2	3.57e-06	1.29e-05	0.13571269	1	1	0	0.22175412	1	0.8012964	0	0.024497645376	0	0.0885705228
174	ACVR2B	93	3	1.91e-06	1.8e-05	0.142156377	1	1	0	0.11864156	1	1.118088	0	0.012938050944	0	0.121865472
175	ACVRL1	94	12	1.66e-06	1.73e-05	0.125245937	1	1	0	0.10311256	1	1.0746068	0	0.01135829034	0	0.1180170708
177	ACY1	95	3	1.92e-06	1.38e-05	0.106862243	1	1	0	0.11926272	1	0.8572008	0	0.013186464928	0	0.0945806736
179	ACYP1	97	14	3.88e-07	2.69e-06	0.023691782	NA	NA	0	0.024101008	0	0.16709204	0	0.0026112949786	0	0.01809009398
180	ACYP2	98	2	5.27e-07	2.6e-06	0.028407882	NA	NA	0	0.032735132	0	0.1615016	0	0.003555948	0	0.01751035
186	ADA	100	20	1.68e-06	1.11e-05	0.106967631	1	1	0	0.10435488	0	0.6894876	0	0.011585616	0	0.0764568
188	ADAM10	102	15	3.32e-06	1.93e-05	0.201158692	1	1	0	0.20622512	0	1.1988388	0	0.022875048	0	0.1329384
189	ADAM11	4185	17	4.25e-06	2.71e-05	0.240924514	1	1	0	0.263993	1	1.6833436	0	0.028200637	0	0.1798205324
190	ADAM12	8038	10	6.36e-06	2.73e-05	0.235948114	1	1	0	0.39505776	1	1.6957668	0	0.04296283446	0	0.1841264334
193	ADAM15	8751	1	7.66e-06	2.66e-05	0.248974551	NA	NA	0	0.47580856	0	1.6522856	0	0.05084628336	2	0.1765680336
195	ADAM17	6868	2	2.26e-06	2.3e-05	0.209176853	1	1	0	0.14038216	1	1.428668	0	0.015180961176	1	0.154701864
196	ADAM18	8749	8	2.72e-06	1.73e-05	0.181312179	1	1	0	0.16895552	1	1.0746068	0	0.01852913832	0	0.117677714
197	ADAM19	8728	5	7.66e-06	2.68e-05	0.035636428	1	0.180370826	1	0.47580856	1	1.6647088	0	0.05127827672	0	0.1794070256
198	ADAM2	2515	8	2.82e-06	1.81e-05	0.017980306	1	0.088158667	1	0.17516712	0	1.1242996	0	0.019134111924	0	0.1229419332
199	ADAM20	8748	14	1.13e-06	1.94e-05	0.149984628	0.076069396	0.003609028	0	0.07019108	3	1.2050504	0	0.007748204262	0	0.1331990808
200	ADAM21	8747	14	1.13e-06	1.83e-05	0.144492657	NA	NA	0	0.07019108	0	1.1367228	0	0.0078217597024	0	0.1257362988
201	ADAM22	53616	7	6.85e-06	2.64e-05	0.266808929	0.252737082	0.285694868	0	0.4254946	2	1.6398624	0	0.04666947048	0	0.1801277808
202	ADAM23	8745	2	9.91e-06	2.18e-05	0.233332105	0.357083919	0.609904777	0	0.61556956	2	1.3541288	0	0.06684520576	1	0.1468977304
206	ADAM28	10863	8	2.75e-06	1.92e-05	0.200835949	NA	NA	0	0.170819	0	1.1926272	0	0.018621733578	0	0.1299662976
207	ADAM29	11086	4	1.38e-06	2.13e-05	0.160562652	NA	NA	0	0.08572008	0	1.3230708	0	0.009400642848	0	0.1446775236
208	ADAM30	11085	1	1.5e-06	2.2e-05	0.014847425	1	0.334843274	1	0.093174	1	1.366552	0	0.010278300204	0	0.151050504
214	ADAM7	8756	8	2.75e-06	1.91e-05	0.198832574	0.333227626	0.487992539	0	0.170819	2	1.1864156	0	0.018685711724	0	0.1298279716
215	ADAM8	101	10	5.96e-06	2.58e-05	0.22033247	0.438148432	0.668643333	0	0.37021136	3	1.6025928	0	0.038689052472	0	0.1673671284
216	ADAM9	8754	8	3.59e-06	2.17e-05	0.224586318	1	1	0	0.22299644	1	1.3479172	0	0.0244922616	0	0.1476339102
217	ADAMTS1	9510	21	2.18e-06	3.09e-05	0.216346855	1	1	0	0.13541288	1	1.9193844	0	0.014438258016	1	0.2042775516
218	ADAMTS2	9509	5	7.95e-06	4.66e-05	0.285669893	1	0.518345697	0	0.4938222	3	2.8946056	0	0.053575627484	1	0.3137250868
219	ADAMTS3	9508	4	5.43e-06	3.46e-05	0.005647643	1	0.143478425	2	0.33728988	2	2.1492136	0	0.03688110544	1	0.2354402672
220	ADAMTS4	9507	1	3.68e-06	3e-05	0.191138096	1	1	0	0.22858688	1	1.86348	0	0.0242230569	0	0.19773924
221	ADAMTS5	11096	21	2e-06	3.57e-05	0.022327685	1	0.161559868	1	0.124232	2	2.2175412	0	0.0133469	0	0.238242165
222	ADAMTS6	11174	5	5.31e-06	3.05e-05	0.290603896	0.029469662	0.130621885	0	0.32983596	5	1.894538	0	0.03637346814	2	0.208924817
223	ADAMTS7	11173	15	5.93e-06	5.67e-05	0.374070343	1	1	0	0.36834788	1	3.5219772	0	0.0388173216	0	0.371780766
224	ADAMTS8	11095	11	3.1e-06	2.87e-05	0.020653919	0.367278724	0.11249878	1	0.1925596	3	1.7827292	0	0.020391960276	0	0.1886075604
225	ADAR	103	1	5.66e-06	3.68e-05	0.266139027	0.035918165	0.112302788	0	0.35157656	5	2.2858688	0	0.038833257312	0	0.2523955968
226	ADARB1	104	21	1.63e-06	2.5e-05	0.154525529	0.151006987	0.252303696	0	0.10124908	3	1.5529	0	0.010915080384	0	0.16720405
227	ADARB2	105	10	1.23e-06	3.03e-05	0.015037015	0.362340468	0.162034177	1	0.07640268	3	1.8821148	0	0.0079690177078	0	0.1960390002
228	ADAT1	23536	16	2.3e-06	1.35e-05	0.137812637	0.126504529	0.25808014	0	0.1428668	2	0.838566	0	0.015752948358	0	0.092342511
232	ADCY1	107	7	3.64e-06	4.26e-05	0.035791882	1	0.35557929	1	0.22610224	3	2.6461416	0	0.0243470691	2	0.284550108
233	ADCY2	108	5	2.77e-06	3.75e-05	0.257377686	0.015589999	0.042552081	0	0.17206132	6	2.32935	0	0.018865732506	0	0.255679425
234	ADCY3	109	2	3.24e-06	4.28e-05	0.269390186	1	1	0	0.20125584	1	2.6585648	0	0.02189976176	0	0.2901887936
235	ADCY4	196883	14	3.45e-06	3.46e-05	0.268805787	1	0.27784804	0	0.2143002	2	2.1492136	0	0.02269860892	0	0.2279744176
236	ADCY5	111	3	6e-06	4.99e-05	0.275429588	0.002117791	5.45e-09	0	0.372696	12	3.0995884	0	0.040349706864	0	0.3362475572
237	ADCY6	112	12	3.64e-06	4.44e-05	0.035585619	1	0.232617151	1	0.22610224	3	2.7579504	0	0.02471723385	0	0.30174462
238	ADCY7	113	16	3.96e-06	3.94e-05	0.249869281	0.237536791	0.090407542	0	0.24597936	4	2.4473704	1	0.02654338104	1	0.2640932356
239	ADCY8	114	8	6.06e-06	4.13e-05	0.046060879	0.005147465	0.007498876	1	0.37642296	6	2.5653908	0	0.040654830472	0	0.2774363018
240	ADCY9	115	16	2.24e-06	5.2e-05	0.267340555	0.333954195	0.455994023	0	0.13913984	4	3.230032	0	0.0152768653028	1	0.355562168
241	ADCYAP1	116	18	3.53e-07	8.38e-06	0.001114849	0.314324785	0.011661086	1	0.021926948	1	0.52053208	0	0.00234863672832	0	0.05574885504
242	ADCYAP1R1	117	7	2.22e-06	1.37e-05	0.154314507	NA	NA	0	0.13789752	0	0.8509892	0	0.015166094012	0	0.0936769558
243	ADD1	118	4	1.71e-06	2.45e-05	0.182135969	0.252394787	0.224799234	0	0.10621836	3	1.521842	0	0.0116297422164	2	0.166683447
244	ADD2	119	2	3.45e-06	2.39e-05	0.201853074	1	1	0	0.2143002	1	1.4845724	0	0.0231164559	0	0.1601400858
245	ADD3	120	10	4.04e-06	1.82e-05	0.187161466	1	1	0	0.25094864	1	1.1305112	0	0.027289802658	0	0.1231525932
248	PLIN2	123	9	9.92e-07	1.22e-05	0.100574562	0.083093577	0.154625929	0	0.061619072	2	0.7578152	0	0.00668151966	0	0.082089164
249	ADH1A	124	4	1.87e-06	1.01e-05	0.003523856	1	0.018329497	1	0.11615692	0	0.6273716	0	0.012880557318	0	0.0694573566
250	ADH1B	125	4	1.87e-06	1.1e-05	0.082259351	0.206719735	0.255620637	0	0.11615692	1	0.683276	0	0.01282092381	0	0.07570057
252	ADH4	127	4	1.92e-06	9.3e-06	0.004035026	1	0.326578445	1	0.11926272	0	0.5776788	0	0.013005753984	0	0.0629638272
253	ADH5	128	4	1.95e-06	9.16e-06	0.094214627	NA	NA	0	0.1211262	0	0.56898256	0	0.013184522432	0	0.06186999256
255	ADH6	130	4	1.92e-06	9.24e-06	0.085563286	NA	NA	0	0.11926272	0	0.57395184	0	0.013041081174	0	0.06272753256
256	ADH7	131	4	1.92e-06	1.01e-05	0.090583436	1	1	0	0.11926272	1	0.6273716	0	0.013012819422	0	0.0684172182
257	ADK	132	10	1.92e-06	7.56e-06	0.094806023	NA	NA	0	0.11926272	0	0.46959696	0	0.013204129596	0	0.05204547432
259	ADM	133	11	5.19e-07	8.74e-06	0.053750827	NA	NA	0	0.032238204	0	0.54289384	0	0.0034724937104	0	0.05845453588
262	ADORA1	134	1	9.27e-07	1.25e-05	0.062083278	1	1	0	0.057581532	0	0.77645	0	0.0059162179584	0	0.0797248
263	ADORA2A	135	22	7.26e-07	1.56e-05	0.08899471	0.252719921	0.324108223	0	0.045096216	1	0.9690096	0	0.0047595238592	0	0.1023271392
264	ADORA2B	136	17	5.66e-07	1.01e-05	0.073631064	NA	NA	0	0.035157656	0	0.6273716	0	0.00379586142	0	0.06771141
268	ADORA3	140	1	1.59e-06	9.84e-06	0.083015445	0.082169679	0.175889283	0	0.09876444	2	0.61122144	0	0.010897393752	0	0.06727123872
269	ADPRH	141	3	1.13e-06	9.91e-06	0.08131232	NA	NA	0	0.07019108	0	0.61556956	0	0.0075365249792	0	0.06602454256
270	PARP1	142	1	9.62e-06	3.06e-05	0.245239052	1	0.948768847	0	0.59755592	2	1.9007496	0	0.065826865218	0	0.2092346604
271	PARP4	143	13	5.04e-06	4.41e-05	0.374627896	1	1	0	0.31306464	1	2.7393156	0	0.0337690268	0	0.2948938776
272	PARP2	10038	14	2.21e-06	1.57e-05	0.168811408	0.087555462	0.053791124	0	0.13727636	3	0.9752212	0	0.01513306782	0	0.1075064094
273	PARP3	10039	3	1.97e-06	1.61e-05	0.135372156	0.134839945	0.22558176	0	0.12236852	2	1.0000676	0	0.013413649648	0	0.1097914384
277	ADRA1A	148	8	7.03e-07	1.68e-05	0.095237958	1	1	0	0.043667548	1	1.0435488	0	0.0047645107454	1	0.1138440912
278	ADRA1B	147	5	9.33e-07	2.01e-05	0.098137996	1	1	0	0.057954228	1	1.2485316	0	0.0059804844772	0	0.1289367564
280	ADRA1D	146	20	5.46e-07	2.5e-05	0.111987847	NA	NA	0	0.033915336	0	1.5529	0	0.003475685304	0	0.1591431
281	ADRA2A	150	10	6.46e-07	2.5e-05	0.090913185	NA	NA	0	0.040126936	0	1.5529	0	0.004005338244	0	0.15500535
282	ADRA2B	151	2	7.4e-07	1.59e-05	0.097345685	NA	NA	0	0.04596584	0	0.9876444	0	0.00495286884	0	0.1064197494
283	ADRA2C	152	4	6.26e-07	2.19e-05	0.105285845	0.421536836	1	0	0.038884616	1	1.3603404	0	0.00404289723888	0	0.1416110064
285	ADRB1	153	10	6.04e-07	2.61e-05	0.089032322	1	1	0	0.037518064	0	1.6212276	0	0.003787137984	0	0.1636495056
286	ADRB2	154	5	6.59e-07	1.42e-05	0.077512822	NA	NA	0	0.040934444	0	0.8820472	0	0.004461630336	0	0.0961383168
288	ADRB3	155	8	4.03e-07	1.39e-05	0.078562667	1	1	0	0.025032748	1	0.8634124	0	0.0027250724904	0	0.0938516046
